Marca,Modelo,Ano,Tipo_combustivel,Potencia_motor,Cilindros_motor,Tipo_transmissao,Rodas_motrizes,Numero_portas,Tamanho,Estilo,Consumo_estrada_milhas,Consumo_cidade_milhas,Valor($)
GMC,Envoy XL,2005,gasolina comum,275.0,6.0,automatico,tracao traseira,4.0,grande,SUV 4 portas,18,13,29695
Volkswagen,Passat,2016,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,medio,seda,38,25,30495
Honda,Odyssey,2016,gasolina comum,248.0,6.0,automatico,tracao dianteira,4.0,grande,minivan de passageiros,28,19,37650
Chevrolet,Cruze,2015,gasolina comum,138.0,4.0,manual,tracao dianteira,4.0,medio,seda,36,25,16170
Volvo,740,1991,gasolina comum,162.0,4.0,automatico,tracao traseira,4.0,medio,seda,20,17,2000
Suzuki,Equator,2012,gasolina comum,152.0,4.0,manual,tracao traseira,4.0,compacto,picape cabine estendida,23,19,19299
Ford,Flex,2016,gasolina premium (recomendada),365.0,6.0,automatico,tracao integral,4.0,grande,perua,21,15,42600
Acura,Legend,1994,gasolina comum,230.0,6.0,manual,tracao dianteira,2.0,medio,cupe,24,16,2384
Oldsmobile,Eighty-Eight Royale,1995,gasolina comum,205.0,6.0,automatico,tracao dianteira,4.0,grande,seda,26,17,2000
Mazda,3,2015,gasolina comum,155.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,41,30,17995
Toyota,Yaris,2015,gasolina comum,106.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,37,30,14845
Mazda,B-Series Pickup,1998,gasolina comum,150.0,6.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine simples,20,15,2930
Nissan,Truck,1995,gasolina comum,134.0,4.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine simples,19,16,2130
Mazda,Mazdaspeed 6,2007,gasolina premium (obrigatoria),274.0,4.0,manual,tracao integral,4.0,medio,seda,23,17,27995
Kia,Amanti,2008,gasolina comum,264.0,6.0,automatico,tracao dianteira,4.0,medio,seda,24,17,25495
Volkswagen,GLI,2009,gasolina premium (recomendada),200.0,4.0,manual,tracao dianteira,4.0,compacto,seda,31,21,24770
Chrysler,Pacifica,2008,gasolina comum,253.0,6.0,automatico,tracao integral,4.0,grande,perua,22,14,27225
Nissan,Altima,2016,gasolina comum,270.0,6.0,automatico,tracao dianteira,4.0,medio,seda,32,22,32690
Acura,RSX,2005,gasolina premium (obrigatoria),210.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,28,20,23670
Lexus,RC 350,2017,gasolina premium (obrigatoria),306.0,6.0,automatico,tracao traseira,2.0,medio,cupe,28,19,43010
Chevrolet,Aveo,2009,gasolina comum,107.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,34,27,14100
Volvo,740,1991,gasolina comum,162.0,4.0,automatico,tracao traseira,4.0,medio,perua,20,17,2000
Audi,A7,2015,gasolina premium (obrigatoria),310.0,6.0,automatico,tracao integral,4.0,grande,seda,28,18,65900
Ford,Escape,2017,gasolina comum,168.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,29,21,23600
Ford,Focus,2017,flex (gasolina/E85),160.0,4.0,manual,tracao dianteira,4.0,compacto,seda,36,26,16775
Honda,Ridgeline,2017,gasolina comum,280.0,6.0,automatico,tracao integral,4.0,grande,picape cabine dupla,25,18,37730
Ford,E-Series Van,2012,flex (gasolina/E85),225.0,8.0,automatico,tracao traseira,3.0,grande,van de carga,17,13,27840
Toyota,MR2,1993,gasolina comum,200.0,4.0,manual,tracao traseira,2.0,compacto,cupe,25,18,2078
Nissan,Pathfinder,2017,gasolina comum,284.0,6.0,automatico,tracao dianteira,4.0,grande,SUV 4 portas,27,20,36100
Ford,E-Series Wagon,2014,flex (gasolina/E85),225.0,8.0,automatico,tracao traseira,3.0,medio,van de passageiros,16,13,30230
